user,week,emailsOpened
2.0,2015-02-09 00:00:00,2.0
2.0,2015-02-16 00:00:00,3.0
2.0,2015-02-23 00:00:00,2.0
2.0,2015-03-02 00:00:00,1.0
2.0,2015-03-09 00:00:00,3.0
2.0,2015-03-16 00:00:00,3.0
2.0,2015-03-23 00:00:00,3.0
2.0,2015-03-30 00:00:00,2.0
2.0,2015-04-06 00:00:00,2.0
2.0,2015-04-13 00:00:00,1.0
2.0,2015-04-20 00:00:00,2.0
2.0,2015-04-27 00:00:00,2.0
2.0,2015-05-04 00:00:00,1.0
2.0,2015-05-11 00:00:00,3.0
2.0,2015-05-18 00:00:00,1.0
2.0,2015-05-25 00:00:00,2.0
2.0,2015-06-01 00:00:00,2.0
2.0,2015-06-08 00:00:00,2.0
2.0,2015-06-15 00:00:00,2.0
2.0,2015-06-22 00:00:00,2.0
2.0,2015-06-29 00:00:00,2.0
2.0,2015-07-06 00:00:00,1.0
2.0,2015-07-13 00:00:00,3.0
2.0,2015-07-20 00:00:00,3.0
2.0,2015-07-27 00:00:00,2.0
2.0,2015-08-03 00:00:00,2.0
2.0,2015-08-10 00:00:00,3.0
2.0,2015-08-17 00:00:00,2.0
2.0,2015-08-24 00:00:00,3.0
2.0,2015-08-31 00:00:00,2.0
2.0,2015-09-07 00:00:00,1.0
2.0,2015-09-14 00:00:00,2.0
2.0,2015-09-21 00:00:00,2.0
2.0,2015-09-28 00:00:00,2.0
2.0,2015-10-05 00:00:00,2.0
2.0,2015-10-12 00:00:00,1.0
2.0,2015-10-19 00:00:00,3.0
2.0,2015-10-26 00:00:00,3.0
2.0,2015-11-02 00:00:00,1.0
2.0,2015-11-09 00:00:00,3.0
2.0,2015-11-16 00:00:00,2.0
2.0,2015-11-23 00:00:00,1.0
2.0,2015-11-30 00:00:00,3.0
2.0,2015-12-07 00:00:00,3.0
2.0,2015-12-14 00:00:00,2.0
2.0,2015-12-21 00:00:00,3.0
2.0,2015-12-28 00:00:00,2.0
2.0,2016-01-04 00:00:00,2.0
2.0,2016-01-11 00:00:00,1.0
2.0,2016-01-18 00:00:00,3.0
2.0,2016-01-25 00:00:00,2.0
2.0,2016-02-01 00:00:00,2.0
2.0,2016-02-08 00:00:00,2.0
2.0,2016-02-15 00:00:00,2.0
2.0,2016-02-22 00:00:00,3.0
2.0,2016-02-29 00:00:00,2.0
2.0,2016-03-07 00:00:00,3.0
2.0,2016-03-21 00:00:00,1.0
2.0,2016-03-28 00:00:00,2.0
2.0,2016-04-04 00:00:00,2.0
2.0,2016-04-11 00:00:00,1.0
2.0,2016-04-18 00:00:00,2.0
2.0,2016-04-25 00:00:00,2.0
2.0,2016-05-02 00:00:00,1.0
2.0,2016-05-09 00:00:00,2.0
2.0,2016-05-16 00:00:00,3.0
2.0,2016-05-23 00:00:00,3.0
2.0,2016-05-30 00:00:00,3.0
